Handle,Title,Body (HTML),Vendor,Type,Tag,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping (Unstructured metafield),Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status,URL
1987-hamer-chapparal-with-dragonskin-finish-by-jim-o-connor,1987 Hamer Chapparal with Dragonskin Finish by Jim O'Connor,"<div class=""item2-description__content""><b>Hamer Chapparal in one of a kind Dragonskin Finish by Jim O'Connor. S/S/H pickup configuration with set neck and Boomerrang inlays. Floyd Rose Tremolo. Some wear on back but no breaks or repairs and is in original condition. Comes with Trem arm and original Hamer hardshell case. Serial #718285</b></div>",River City Guitars LLC ,electric guitars,,TRUE,Model,Chapparal,Make,Hamer,Condition,Very Good,54890683,,,deny,manual,"5,499","5,499",TRUE,https://rvb-img.reverb.com/image/upload/s--3Tsx4nDT--/t_card-square/v1652311282/qbnwbnwmzuxsetu0u64z.jpg,1,1987 Hamer Chapparal with Dragonskin Finish by Jim O'Connor image 1,FALSE,1987 Hamer Chapparal with Dragonskin Finish by Jim O'Connor,Hamer Chapparal in one of a kind Dragonskin Finish by Jim O'Connor. S/S/H pickup configuration with set neck and Boomerrang inlays. Floyd Rose Tremolo. Some wear on back but no breaks or repairs and is in original condition. Comes with Trem arm and original Hamer hardshell case. Serial #718285,Home > Hamer > Hamer Electric Guitars,,,,,,Very Good,,,,,,,https://rvb-img.reverb.com/image/upload/s--3Tsx4nDT--/t_card-square/v1652311282/qbnwbnwmzuxsetu0u64z.jpg,,,,archived,https://reverb.com/item/54890683-1987-hamer-chapparal-with-dragonskin-finish-by-jim-o-connor?show_sold=true
1987-mosrite-jm-65-double-neck-joe-maphis-model,1987 Mosrite JM 65 Double Neck Joe Maphis Model,"<div class=""item2-description__content""><b>1987 Mosrite Joe Maphis JM 65 in excellent original condition. Very low production and is complete with original case and letters of provenance from Semie Moseley and Gruhn Guitars. Any questions please ask and we will be more than happy to get back to you.<br><br>Year: 1987<br>Serial # JM 16<br>Body and Neck: Maple w/walnut laminate<br>Fingerboard: Rosewood<br>Weight: 11 lbs<br>Short 6 string octave neck &amp; standard length 6 string neck. <br>All hardware and electronics original. </b></div>",River City Guitars LLC ,electric guitars,,TRUE,Model,JM 65,Make,Mosrite,Condition,Excellent,52060329,4989.52,,deny,manual,"5,499","5,499",TRUE,https://rvb-img.reverb.com/image/upload/s--94bJL4st--/t_card-square/v1647298797/edzqroihuxouykgx3ft9.jpg,1,1987 Mosrite JM 65 Double Neck Joe Maphis Model image 1,FALSE,1987 Mosrite JM 65 Double Neck Joe Maphis Model,1987 Mosrite Joe Maphis JM 65 in excellent original condition. Very low production and is complete with original case and letters of provenance from Semie Moseley and Gruhn Guitars. Any questions please ask and we will be more than happy to get back to you. Year: 1987 Serial # JM 16 Body and Neck: Maple w/walnut laminate Fingerboard: Rosewood Weight: 11 lbs Short 6 string octave neck & standard length 6 string neck.  All hardware and electronics original.,Home > Mosrite > Mosrite Electric Guitars,,,,,,Excellent,,,,,,,https://rvb-img.reverb.com/image/upload/s--94bJL4st--/t_card-square/v1647298797/edzqroihuxouykgx3ft9.jpg,11 lbs,,,archived,https://reverb.com/item/52060329-1987-mosrite-jm-65-double-neck-joe-maphis-model?show_sold=true
1987-hamer-chapparal-with-dragonskin-finish-by-jim-o-connor,1987 Hamer Chapparal with Dragonskin Finish by Jim O'Connor,"<div class=""item2-description__content""><b>Hamer Chapparal in one of a kind Dragonskin Finish by Jim O'Connor. S/S/H pickup configuration with set neck and Boomerrang inlays. Floyd Rose Tremolo. Some wear on back but no breaks or repairs and is in original condition. Comes with Trem arm and original Hamer hardshell case. Serial #718285</b></div>",River City Guitars LLC ,electric guitars,,TRUE,Model,Chapparal,Make,Hamer,Condition,Very Good,54890683,,,deny,manual,"5,499","5,499",TRUE,https://rvb-img.reverb.com/image/upload/s--dBr9l2X_--/t_card-square/v1652311283/mnr2f7irhwbryuyswtto.jpg,2,1987 Hamer Chapparal with Dragonskin Finish by Jim O'Connor image 2,FALSE,1987 Hamer Chapparal with Dragonskin Finish by Jim O'Connor,Hamer Chapparal in one of a kind Dragonskin Finish by Jim O'Connor. S/S/H pickup configuration with set neck and Boomerrang inlays. Floyd Rose Tremolo. Some wear on back but no breaks or repairs and is in original condition. Comes with Trem arm and original Hamer hardshell case. Serial #718285,Home > Hamer > Hamer Electric Guitars,,,,,,Very Good,,,,,,,https://rvb-img.reverb.com/image/upload/s--dBr9l2X_--/t_card-square/v1652311283/mnr2f7irhwbryuyswtto.jpg,,,,archived,https://reverb.com/item/54890683-1987-hamer-chapparal-with-dragonskin-finish-by-jim-o-connor?show_sold=true
1987-mosrite-jm-65-double-neck-joe-maphis-model,1987 Mosrite JM 65 Double Neck Joe Maphis Model,"<div class=""item2-description__content""><b>1987 Mosrite Joe Maphis JM 65 in excellent original condition. Very low production and is complete with original case and letters of provenance from Semie Moseley and Gruhn Guitars. Any questions please ask and we will be more than happy to get back to you.<br><br>Year: 1987<br>Serial # JM 16<br>Body and Neck: Maple w/walnut laminate<br>Fingerboard: Rosewood<br>Weight: 11 lbs<br>Short 6 string octave neck &amp; standard length 6 string neck. <br>All hardware and electronics original. </b></div>",River City Guitars LLC ,electric guitars,,TRUE,Model,JM 65,Make,Mosrite,Condition,Excellent,52060329,4989.52,,deny,manual,"5,499","5,499",TRUE,https://rvb-img.reverb.com/image/upload/s--jtxBihv3--/t_card-square/v1647298820/yjh9xtfcfxxynocnj5hv.jpg,2,1987 Mosrite JM 65 Double Neck Joe Maphis Model image 2,FALSE,1987 Mosrite JM 65 Double Neck Joe Maphis Model,1987 Mosrite Joe Maphis JM 65 in excellent original condition. Very low production and is complete with original case and letters of provenance from Semie Moseley and Gruhn Guitars. Any questions please ask and we will be more than happy to get back to you. Year: 1987 Serial # JM 16 Body and Neck: Maple w/walnut laminate Fingerboard: Rosewood Weight: 11 lbs Short 6 string octave neck & standard length 6 string neck.  All hardware and electronics original.,Home > Mosrite > Mosrite Electric Guitars,,,,,,Excellent,,,,,,,https://rvb-img.reverb.com/image/upload/s--jtxBihv3--/t_card-square/v1647298820/yjh9xtfcfxxynocnj5hv.jpg,11 lbs,,,archived,https://reverb.com/item/52060329-1987-mosrite-jm-65-double-neck-joe-maphis-model?show_sold=true
1987-hamer-chapparal-with-dragonskin-finish-by-jim-o-connor,1987 Hamer Chapparal with Dragonskin Finish by Jim O'Connor,"<div class=""item2-description__content""><b>Hamer Chapparal in one of a kind Dragonskin Finish by Jim O'Connor. S/S/H pickup configuration with set neck and Boomerrang inlays. Floyd Rose Tremolo. Some wear on back but no breaks or repairs and is in original condition. Comes with Trem arm and original Hamer hardshell case. Serial #718285</b></div>",River City Guitars LLC ,electric guitars,,TRUE,Model,Chapparal,Make,Hamer,Condition,Very Good,54890683,,,deny,manual,"5,499","5,499",TRUE,https://rvb-img.reverb.com/image/upload/s--_S8bBiiR--/t_card-square/v1652311284/xqkghvwczy5cxdjpwput.jpg,3,1987 Hamer Chapparal with Dragonskin Finish by Jim O'Connor image 3,FALSE,1987 Hamer Chapparal with Dragonskin Finish by Jim O'Connor,Hamer Chapparal in one of a kind Dragonskin Finish by Jim O'Connor. S/S/H pickup configuration with set neck and Boomerrang inlays. Floyd Rose Tremolo. Some wear on back but no breaks or repairs and is in original condition. Comes with Trem arm and original Hamer hardshell case. Serial #718285,Home > Hamer > Hamer Electric Guitars,,,,,,Very Good,,,,,,,https://rvb-img.reverb.com/image/upload/s--_S8bBiiR--/t_card-square/v1652311284/xqkghvwczy5cxdjpwput.jpg,,,,archived,https://reverb.com/item/54890683-1987-hamer-chapparal-with-dragonskin-finish-by-jim-o-connor?show_sold=true
1987-mosrite-jm-65-double-neck-joe-maphis-model,1987 Mosrite JM 65 Double Neck Joe Maphis Model,"<div class=""item2-description__content""><b>1987 Mosrite Joe Maphis JM 65 in excellent original condition. Very low production and is complete with original case and letters of provenance from Semie Moseley and Gruhn Guitars. Any questions please ask and we will be more than happy to get back to you.<br><br>Year: 1987<br>Serial # JM 16<br>Body and Neck: Maple w/walnut laminate<br>Fingerboard: Rosewood<br>Weight: 11 lbs<br>Short 6 string octave neck &amp; standard length 6 string neck. <br>All hardware and electronics original. </b></div>",River City Guitars LLC ,electric guitars,,TRUE,Model,JM 65,Make,Mosrite,Condition,Excellent,52060329,4989.52,,deny,manual,"5,499","5,499",TRUE,https://rvb-img.reverb.com/image/upload/s--tUxRlMCQ--/t_card-square/v1647298842/tbffqnt1hjxmi8raatgh.jpg,3,1987 Mosrite JM 65 Double Neck Joe Maphis Model image 3,FALSE,1987 Mosrite JM 65 Double Neck Joe Maphis Model,1987 Mosrite Joe Maphis JM 65 in excellent original condition. Very low production and is complete with original case and letters of provenance from Semie Moseley and Gruhn Guitars. Any questions please ask and we will be more than happy to get back to you. Year: 1987 Serial # JM 16 Body and Neck: Maple w/walnut laminate Fingerboard: Rosewood Weight: 11 lbs Short 6 string octave neck & standard length 6 string neck.  All hardware and electronics original.,Home > Mosrite > Mosrite Electric Guitars,,,,,,Excellent,,,,,,,https://rvb-img.reverb.com/image/upload/s--tUxRlMCQ--/t_card-square/v1647298842/tbffqnt1hjxmi8raatgh.jpg,11 lbs,,,archived,https://reverb.com/item/52060329-1987-mosrite-jm-65-double-neck-joe-maphis-model?show_sold=true
1987-hamer-chapparal-with-dragonskin-finish-by-jim-o-connor,1987 Hamer Chapparal with Dragonskin Finish by Jim O'Connor,"<div class=""item2-description__content""><b>Hamer Chapparal in one of a kind Dragonskin Finish by Jim O'Connor. S/S/H pickup configuration with set neck and Boomerrang inlays. Floyd Rose Tremolo. Some wear on back but no breaks or repairs and is in original condition. Comes with Trem arm and original Hamer hardshell case. Serial #718285</b></div>",River City Guitars LLC ,electric guitars,,TRUE,Model,Chapparal,Make,Hamer,Condition,Very Good,54890683,,,deny,manual,"5,499","5,499",TRUE,https://rvb-img.reverb.com/image/upload/s--LOcJ9FnI--/t_card-square/v1652311286/eorwxddft7ych3w6nrfq.jpg,4,1987 Hamer Chapparal with Dragonskin Finish by Jim O'Connor image 4,FALSE,1987 Hamer Chapparal with Dragonskin Finish by Jim O'Connor,Hamer Chapparal in one of a kind Dragonskin Finish by Jim O'Connor. S/S/H pickup configuration with set neck and Boomerrang inlays. Floyd Rose Tremolo. Some wear on back but no breaks or repairs and is in original condition. Comes with Trem arm and original Hamer hardshell case. Serial #718285,Home > Hamer > Hamer Electric Guitars,,,,,,Very Good,,,,,,,https://rvb-img.reverb.com/image/upload/s--LOcJ9FnI--/t_card-square/v1652311286/eorwxddft7ych3w6nrfq.jpg,,,,archived,https://reverb.com/item/54890683-1987-hamer-chapparal-with-dragonskin-finish-by-jim-o-connor?show_sold=true
1987-mosrite-jm-65-double-neck-joe-maphis-model,1987 Mosrite JM 65 Double Neck Joe Maphis Model,"<div class=""item2-description__content""><b>1987 Mosrite Joe Maphis JM 65 in excellent original condition. Very low production and is complete with original case and letters of provenance from Semie Moseley and Gruhn Guitars. Any questions please ask and we will be more than happy to get back to you.<br><br>Year: 1987<br>Serial # JM 16<br>Body and Neck: Maple w/walnut laminate<br>Fingerboard: Rosewood<br>Weight: 11 lbs<br>Short 6 string octave neck &amp; standard length 6 string neck. <br>All hardware and electronics original. </b></div>",River City Guitars LLC ,electric guitars,,TRUE,Model,JM 65,Make,Mosrite,Condition,Excellent,52060329,4989.52,,deny,manual,"5,499","5,499",TRUE,https://rvb-img.reverb.com/image/upload/s--UGfrb-jM--/t_card-square/v1647298871/vu2dk1g4yq8v2ztyvxqw.jpg,4,1987 Mosrite JM 65 Double Neck Joe Maphis Model image 4,FALSE,1987 Mosrite JM 65 Double Neck Joe Maphis Model,1987 Mosrite Joe Maphis JM 65 in excellent original condition. Very low production and is complete with original case and letters of provenance from Semie Moseley and Gruhn Guitars. Any questions please ask and we will be more than happy to get back to you. Year: 1987 Serial # JM 16 Body and Neck: Maple w/walnut laminate Fingerboard: Rosewood Weight: 11 lbs Short 6 string octave neck & standard length 6 string neck.  All hardware and electronics original.,Home > Mosrite > Mosrite Electric Guitars,,,,,,Excellent,,,,,,,https://rvb-img.reverb.com/image/upload/s--UGfrb-jM--/t_card-square/v1647298871/vu2dk1g4yq8v2ztyvxqw.jpg,11 lbs,,,archived,https://reverb.com/item/52060329-1987-mosrite-jm-65-double-neck-joe-maphis-model?show_sold=true
1987-hamer-chapparal-with-dragonskin-finish-by-jim-o-connor,1987 Hamer Chapparal with Dragonskin Finish by Jim O'Connor,"<div class=""item2-description__content""><b>Hamer Chapparal in one of a kind Dragonskin Finish by Jim O'Connor. S/S/H pickup configuration with set neck and Boomerrang inlays. Floyd Rose Tremolo. Some wear on back but no breaks or repairs and is in original condition. Comes with Trem arm and original Hamer hardshell case. Serial #718285</b></div>",River City Guitars LLC ,electric guitars,,TRUE,Model,Chapparal,Make,Hamer,Condition,Very Good,54890683,,,deny,manual,"5,499","5,499",TRUE,https://rvb-img.reverb.com/image/upload/s--_bc5Hm5_--/t_card-square/v1652311287/kwevrs2fpzo0iiwv8voc.jpg,5,1987 Hamer Chapparal with Dragonskin Finish by Jim O'Connor image 5,FALSE,1987 Hamer Chapparal with Dragonskin Finish by Jim O'Connor,Hamer Chapparal in one of a kind Dragonskin Finish by Jim O'Connor. S/S/H pickup configuration with set neck and Boomerrang inlays. Floyd Rose Tremolo. Some wear on back but no breaks or repairs and is in original condition. Comes with Trem arm and original Hamer hardshell case. Serial #718285,Home > Hamer > Hamer Electric Guitars,,,,,,Very Good,,,,,,,https://rvb-img.reverb.com/image/upload/s--_bc5Hm5_--/t_card-square/v1652311287/kwevrs2fpzo0iiwv8voc.jpg,,,,archived,https://reverb.com/item/54890683-1987-hamer-chapparal-with-dragonskin-finish-by-jim-o-connor?show_sold=true
1987-mosrite-jm-65-double-neck-joe-maphis-model,1987 Mosrite JM 65 Double Neck Joe Maphis Model,"<div class=""item2-description__content""><b>1987 Mosrite Joe Maphis JM 65 in excellent original condition. Very low production and is complete with original case and letters of provenance from Semie Moseley and Gruhn Guitars. Any questions please ask and we will be more than happy to get back to you.<br><br>Year: 1987<br>Serial # JM 16<br>Body and Neck: Maple w/walnut laminate<br>Fingerboard: Rosewood<br>Weight: 11 lbs<br>Short 6 string octave neck &amp; standard length 6 string neck. <br>All hardware and electronics original. </b></div>",River City Guitars LLC ,electric guitars,,TRUE,Model,JM 65,Make,Mosrite,Condition,Excellent,52060329,4989.52,,deny,manual,"5,499","5,499",TRUE,https://rvb-img.reverb.com/image/upload/s--uegH4rv2--/t_card-square/v1647298899/wdukm5lcujvnmgusmpd6.jpg,5,1987 Mosrite JM 65 Double Neck Joe Maphis Model image 5,FALSE,1987 Mosrite JM 65 Double Neck Joe Maphis Model,1987 Mosrite Joe Maphis JM 65 in excellent original condition. Very low production and is complete with original case and letters of provenance from Semie Moseley and Gruhn Guitars. Any questions please ask and we will be more than happy to get back to you. Year: 1987 Serial # JM 16 Body and Neck: Maple w/walnut laminate Fingerboard: Rosewood Weight: 11 lbs Short 6 string octave neck & standard length 6 string neck.  All hardware and electronics original.,Home > Mosrite > Mosrite Electric Guitars,,,,,,Excellent,,,,,,,https://rvb-img.reverb.com/image/upload/s--uegH4rv2--/t_card-square/v1647298899/wdukm5lcujvnmgusmpd6.jpg,11 lbs,,,archived,https://reverb.com/item/52060329-1987-mosrite-jm-65-double-neck-joe-maphis-model?show_sold=true
1987-hamer-chapparal-with-dragonskin-finish-by-jim-o-connor,1987 Hamer Chapparal with Dragonskin Finish by Jim O'Connor,"<div class=""item2-description__content""><b>Hamer Chapparal in one of a kind Dragonskin Finish by Jim O'Connor. S/S/H pickup configuration with set neck and Boomerrang inlays. Floyd Rose Tremolo. Some wear on back but no breaks or repairs and is in original condition. Comes with Trem arm and original Hamer hardshell case. Serial #718285</b></div>",River City Guitars LLC ,electric guitars,,TRUE,Model,Chapparal,Make,Hamer,Condition,Very Good,54890683,,,deny,manual,"5,499","5,499",TRUE,https://rvb-img.reverb.com/image/upload/s--dYsc4Ayd--/t_card-square/v1652311289/zwvjhjmfrassdb9a0vcl.jpg,6,1987 Hamer Chapparal with Dragonskin Finish by Jim O'Connor image 6,FALSE,1987 Hamer Chapparal with Dragonskin Finish by Jim O'Connor,Hamer Chapparal in one of a kind Dragonskin Finish by Jim O'Connor. S/S/H pickup configuration with set neck and Boomerrang inlays. Floyd Rose Tremolo. Some wear on back but no breaks or repairs and is in original condition. Comes with Trem arm and original Hamer hardshell case. Serial #718285,Home > Hamer > Hamer Electric Guitars,,,,,,Very Good,,,,,,,https://rvb-img.reverb.com/image/upload/s--dYsc4Ayd--/t_card-square/v1652311289/zwvjhjmfrassdb9a0vcl.jpg,,,,archived,https://reverb.com/item/54890683-1987-hamer-chapparal-with-dragonskin-finish-by-jim-o-connor?show_sold=true
1987-mosrite-jm-65-double-neck-joe-maphis-model,1987 Mosrite JM 65 Double Neck Joe Maphis Model,"<div class=""item2-description__content""><b>1987 Mosrite Joe Maphis JM 65 in excellent original condition. Very low production and is complete with original case and letters of provenance from Semie Moseley and Gruhn Guitars. Any questions please ask and we will be more than happy to get back to you.<br><br>Year: 1987<br>Serial # JM 16<br>Body and Neck: Maple w/walnut laminate<br>Fingerboard: Rosewood<br>Weight: 11 lbs<br>Short 6 string octave neck &amp; standard length 6 string neck. <br>All hardware and electronics original. </b></div>",River City Guitars LLC ,electric guitars,,TRUE,Model,JM 65,Make,Mosrite,Condition,Excellent,52060329,4989.52,,deny,manual,"5,499","5,499",TRUE,https://rvb-img.reverb.com/image/upload/s--ZN6VxCrA--/t_card-square/v1647298949/jovhbfht5ea757qnutsn.jpg,6,1987 Mosrite JM 65 Double Neck Joe Maphis Model image 6,FALSE,1987 Mosrite JM 65 Double Neck Joe Maphis Model,1987 Mosrite Joe Maphis JM 65 in excellent original condition. Very low production and is complete with original case and letters of provenance from Semie Moseley and Gruhn Guitars. Any questions please ask and we will be more than happy to get back to you. Year: 1987 Serial # JM 16 Body and Neck: Maple w/walnut laminate Fingerboard: Rosewood Weight: 11 lbs Short 6 string octave neck & standard length 6 string neck.  All hardware and electronics original.,Home > Mosrite > Mosrite Electric Guitars,,,,,,Excellent,,,,,,,https://rvb-img.reverb.com/image/upload/s--ZN6VxCrA--/t_card-square/v1647298949/jovhbfht5ea757qnutsn.jpg,11 lbs,,,archived,https://reverb.com/item/52060329-1987-mosrite-jm-65-double-neck-joe-maphis-model?show_sold=true
1987-hamer-chapparal-with-dragonskin-finish-by-jim-o-connor,1987 Hamer Chapparal with Dragonskin Finish by Jim O'Connor,"<div class=""item2-description__content""><b>Hamer Chapparal in one of a kind Dragonskin Finish by Jim O'Connor. S/S/H pickup configuration with set neck and Boomerrang inlays. Floyd Rose Tremolo. Some wear on back but no breaks or repairs and is in original condition. Comes with Trem arm and original Hamer hardshell case. Serial #718285</b></div>",River City Guitars LLC ,electric guitars,,TRUE,Model,Chapparal,Make,Hamer,Condition,Very Good,54890683,,,deny,manual,"5,499","5,499",TRUE,https://rvb-img.reverb.com/image/upload/s--Wr2JgMm_--/t_card-square/v1652311290/qs5m3thfu6ws5teiekoc.jpg,7,1987 Hamer Chapparal with Dragonskin Finish by Jim O'Connor image 7,FALSE,1987 Hamer Chapparal with Dragonskin Finish by Jim O'Connor,Hamer Chapparal in one of a kind Dragonskin Finish by Jim O'Connor. S/S/H pickup configuration with set neck and Boomerrang inlays. Floyd Rose Tremolo. Some wear on back but no breaks or repairs and is in original condition. Comes with Trem arm and original Hamer hardshell case. Serial #718285,Home > Hamer > Hamer Electric Guitars,,,,,,Very Good,,,,,,,https://rvb-img.reverb.com/image/upload/s--Wr2JgMm_--/t_card-square/v1652311290/qs5m3thfu6ws5teiekoc.jpg,,,,archived,https://reverb.com/item/54890683-1987-hamer-chapparal-with-dragonskin-finish-by-jim-o-connor?show_sold=true
1987-mosrite-jm-65-double-neck-joe-maphis-model,1987 Mosrite JM 65 Double Neck Joe Maphis Model,"<div class=""item2-description__content""><b>1987 Mosrite Joe Maphis JM 65 in excellent original condition. Very low production and is complete with original case and letters of provenance from Semie Moseley and Gruhn Guitars. Any questions please ask and we will be more than happy to get back to you.<br><br>Year: 1987<br>Serial # JM 16<br>Body and Neck: Maple w/walnut laminate<br>Fingerboard: Rosewood<br>Weight: 11 lbs<br>Short 6 string octave neck &amp; standard length 6 string neck. <br>All hardware and electronics original. </b></div>",River City Guitars LLC ,electric guitars,,TRUE,Model,JM 65,Make,Mosrite,Condition,Excellent,52060329,4989.52,,deny,manual,"5,499","5,499",TRUE,https://rvb-img.reverb.com/image/upload/s--IzQ8WDvp--/t_card-square/v1647298967/ffzhyhoo7qxfutergogi.jpg,7,1987 Mosrite JM 65 Double Neck Joe Maphis Model image 7,FALSE,1987 Mosrite JM 65 Double Neck Joe Maphis Model,1987 Mosrite Joe Maphis JM 65 in excellent original condition. Very low production and is complete with original case and letters of provenance from Semie Moseley and Gruhn Guitars. Any questions please ask and we will be more than happy to get back to you. Year: 1987 Serial # JM 16 Body and Neck: Maple w/walnut laminate Fingerboard: Rosewood Weight: 11 lbs Short 6 string octave neck & standard length 6 string neck.  All hardware and electronics original.,Home > Mosrite > Mosrite Electric Guitars,,,,,,Excellent,,,,,,,https://rvb-img.reverb.com/image/upload/s--IzQ8WDvp--/t_card-square/v1647298967/ffzhyhoo7qxfutergogi.jpg,11 lbs,,,archived,https://reverb.com/item/52060329-1987-mosrite-jm-65-double-neck-joe-maphis-model?show_sold=true
